"","Object","velocity","orbits","size"
"334","(2002 KG4)",13.4416,1,390
"335","(2002 KJ3)",2.88093333333333,3,860
"336","(2002 KJ4)",11.3976666666667,3,780
"337","(2002 KK3)",10.7787,2,1000
"338","(2002 KK8)",9.38184,5,380
"339","(2002 KM3)",5.4343,2,210
"340","(2002 LE31)",7.41962857142857,7,570
"341","(2002 LG3)",14.18188,5,710
"342","(2002 LH3)",3.5216,4,520
"343","(2002 LR24)",7.0184,1,82
"344","(2002 LW)",4.25179090909091,22,200
"345","(2002 LX)",9.91468571428571,7,390
"346","(2002 LY1)",7.24115714285714,28,210
"347","(2002 MN)",10.1618,1,110
"348","(2002 MS3)",10.2052,4,900
"349","(2002 MT3)",11.873,1,620
"350","(2002 MY)",5.32063333333333,6,210
"351","(2002 NE71)",8.287075,8,860
"352","(2002 NY40)",14.4553,8,940
"353","(2002 PB)",11.9580285714286,7,470
"354","(2002 PE130)",7.223,2,1400
"355","(2002 PF43)",5.7784,8,450
"356","(2002 PN)",3.66862857142857,7,65
"357","(2002 PO6)",8.6924,1,430
"358","(2002 PO75)",6.25704,5,900
"359","(2002 PW39)",5.2514,1,340
"360","(2002 PY39)",5.4095,2,300
"361","(2002 QE47)",1.4105,2,220
"362","(2002 QG46)",7.9949,4,620
"363","(2002 QH10)",4.9383,2,520
"364","(2002 QQ40)",10.2133578947368,19,300
"365","(2002 QW47)",7.02046666666667,6,470
"366","(2002 QZ6)",8.35915,4,680
"367","(2002 RO137)",3.0411,2,450
"368","(2002 RP137)",4.72041428571429,14,150
"369","(2002 RR25)",6.29872307692308,13,390
"370","(2002 RS129)",6.3426,7,150
"371","(2002 RT)",17.4499,4,390
"372","(2002 RT129)",16.7245,4,710
"373","(2002 SQ)",7.81438461538462,13,750
"374","(2002 TA60)",13.45555,8,430
"375","(2002 TA69)",14.601,3,1400
"376","(2002 TB70)",5.90798,10,280
"377","(2002 TP69)",3.72,1,250
"378","(2002 TS69)",3.39946,10,78
"379","(2002 TV55)",7.0277,2,380
"380","(2002 TX55)",7.521375,8,110
"381","(2002 TY59)",4.7275,4,47
"382","(2002 TZ66)",3.95266315789474,19,39
"383","(2002 TZ68)",6.7084,1,31
"384","(2002 UK11)",11.3674933333333,15,250
"385","(2002 UQ12)",12.59592,10,200
"386","(2002 VE68)",6.46232413793103,29,470
"387","(2002 VO85)",7.0649,4,280
"388","(2002 VP69)",7.0742,5,1600
"389","(2002 VP85)",12.92235,4,590
"390","(2002 VR14)",7.64666666666667,6,200
"391","(2002 VR85)",9.3806,1,490
"392","(2002 VR94)",5.40536666666667,6,900
"393","(2002 VS14)",9.082225,8,260
"394","(2002 VU114)",5.08597272727273,22,160
"395","(2002 VX17)",3.3232,2,230
"396","(2002 VX91)",4.26188,20,82
"397","(2002 WX12)",11.827275,8,620
"398","(2002 XA)",4.5136,1,780
"399","(2002 XB)",8.41376470588235,17,260
